listing_id,artist,title,label,catalog_number,year,format,format_details,media_condition,sleeve_condition,price,status,ships_from,comments
3747978211,The Lodge (2),Smell Of A Friend,Antilles New Directions,AN 8711,1988,"LP, Album",,Near Mint (NM or M-),Very Good Plus (VG+),GBP 2.6,For Sale,United Kingdom,LOOKS UNPLAYED. VG++ SLEEVE (SPINE CREASING ONLY). NO INSERT.
3747978151,Little Benny & The Masters,Who Comes To Boogie,Bluebird,BR 13,1985,"7"", Single",,Near Mint (NM or M-),Very Good (VG),GBP 1.5,For Sale,United Kingdom,CARD PICTURE SLEEVE.
3747978196,Liza Minnelli,Losing My Mind,Epic,ZEE 1,1989,"7"", Single",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 1.5,For Sale,United Kingdom,A SMALL NUMBER WRITTEN IN THE BOTTOM RIGHT CORNER.
3747978118,Lionel Richie,Lionel Richie,Motown,STMA 8037,1982,"LP, Album, Gat",,Very Good Plus (VG+),Very Good Plus (VG+),GBP 1.68,For Sale,United Kingdom,VG+ INNER.
3747978139,Liquid Gold,"The Night, The Wine And The Roses",POLO,POLO 6,1980,"7"", CBS",,Very Good Plus (VG+),Near Mint (NM or M-),GBP 2.24,For Sale,United Kingdom,VG++ VINYL (VERY LIGHT WEAR ONLY). CLEAN LABELS. POLO COMPANY/BIRTH SLEEVE.
3747978247,The Longines Symphonette,In A Sentimental Mood,Longines Symphonette Society,LWS 339,0,"LP, Album",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 2.03,For Sale,United Kingdom,COMPLETE WITH GOLD MEDAL INNER SLEEVE. LOOKS UNPLAYED ! LIKE NEW !!
3747978271,Lonnie Donegan,The Comancheros,Pye Records,7N.15410,1962,"7""",,Very Good (VG),Generic,GBP 0.59,For Sale,United Kingdom,VISUALLY VG - BUT PLAYS GREAT - CLEAN LABELS - COMPANY SLEEVE. 
3747978289,Lonnie Donegan Skiffle Group*,Skiffle Session,"Pye Nixa, Pye Nixa","NJE 1017, NJE.1017",1957,"7"", EP, RP, 4 P",,Very Good Plus (VG+),Near Mint (NM or M-),GBP 1.36,For Sale,United Kingdom,LIGHT WEAR ONLY - PLAYS EXCELLENT. ORIG PLASTIC BAG INNER.
3747978268,Lonnie Donegan,Sundown,Chrysalis,CHR 1205,1978,"LP, Album",,Near Mint (NM or M-),Very Good Plus (VG+),GBP 4.27,For Sale,United Kingdom,VG++ SLEEVE (SHELF WEAR ONLY)
3747978286,Lonnie Donegan And His Group*,My Old Man's A Dustman,Pye Records,7N.15256,1960,"7"", Single, Sol",,Very Good Plus (VG+),Generic,GBP 0.59,For Sale,United Kingdom,CLEAN LABELS - COMPANY SLEEVE. 
3747978280,Lonnie Donegan And His Skiffle Group*,Lonnie's Skiffle Party,Pye Nixa,7N.15165,1958,"7"", Single",,Very Good Plus (VG+),Generic,GBP 1.7,For Sale,United Kingdom,VG++ VERY LIGHT WEAR ONLY -  CLEAN LABELS - COMPANY SLEEVE.
